strongNumber,hebWord,lang,etymComplete,etymDesc,variants,morphology,heading,entrycontent,phonemes,multiarticle
2177,זַן,H,2109+זון,from H2109,,N-M,kind,"1) kind, sort",zan,
2178,זַן,A,2177+זן,(Aramaic) corresponding to H2177,,N-M,kind,"1) kind, sort",zan,
2179,זָנַב,H,2180+זנב,"a primitive root meaning to wag, used only as a denominative from H2180",,V,to cut off the tail,"1) to cut off<br>&emsp;1a) (Piel) to attack the rear, smite the tail",zānav,
2180,זָנָב,H,2179+זנב,from H2179 (in the original sense of flapping),,N-M,tail,"1) tail, end, stump",zānāv,
2181,זָנָה,H,,a primitive root (highly-fed and therefore wanton),,V,to fornicate,"1) to commit fornication, be a harlot, play the harlot<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to be a harlot, act as a harlot, commit fornication<br>&emsp;&emsp;1a2) to commit adultery<br>&emsp;&emsp;1a3) to be a cult prostitute<br>&emsp;&emsp;1a4) to be unfaithful (to God) (fig.)<br>&emsp;1b) (Pual) to play the harlot<br>&emsp;1c) (Hiphil)<br>&emsp;&emsp;1c1) to cause to commit adultery<br>&emsp;&emsp;1c2) to force into prostitution<br>&emsp;&emsp;1c3) to commit fornication",zānā,
2182,זָנוֹחַ,H,2186+זנח,from H2186,,N_N--L,Zanoah,"Zanoah = ""cast off""<br>1) a city in the low country of Judah<br>2) a city in the mountains of Judah, perhaps southwest of Hebron",zānōaḥ,
2183,זְנוּנִים,H,2181+זנה,from H2181,,N-M,fornication,"1) adultery, fornication, prostitution",zᵊnūnīm,
2184,זְנוּת,H,2181+זנה,from H2181,,N-F,fornication,"1) fornication, harlotry",zᵊnūt,
2185,זֹנוֹת,H,2109+זון|2181+זנה,"regarded by some as if from H2109 or an unused root, and applied to military equipments, but evidently the feminine plural active participle of H2181",,N-F,armour,1) fornications<br>&emsp;1a) armour (used in warfare not sanctioned by Jehovah) (fig.),zōnōt,
2186,זָנַח,H,,"a primitive root meaning to push aside, i.e. reject, forsake, fail","זָנַח, זָנַח",V,to reject|to stink,"1) to cast off, reject, spurn<br>&emsp;1a) (Qal) to reject<br>&emsp;1b) (Hiphil) to forcefully reject someone|1) to stink, emit stench, become odious<br>&emsp;1a) (Hiphil) stink (perfect)",zānaḥ,m
2187,זָנַק,H,,a primitive root,,V,to leap,"1) (Piel) to leap, spring",zānaq,
2188,זֵעָה,H,2111+זוע|3154+יזע,from H2111 (in the sense of H3154),,N-F,sweat,1) sweat,zēʿā,
2189,זַעֲוָה,H,2113+זועה,by transposition for H2113,,N-F,horror,"1) a horror, trembling, object of terror or trembling",zaʿăwā,
2190,זַעֲוָן,H,2111+זוע,from H2111,,N_N-M-P,Zaavan,"Zaavan = ""troubled""<br>1) a Horite chief, son of Ezer the son of Seir",zaʿăwān,
2191,זְעֵיר,H,6819+צער,"from an unused root (akin (by permutation) to H6819), meaning to dwindle",,N-M,little,1) a little<br>&emsp;1a) of quantity<br>&emsp;1b) of time,zᵊʿēr,
2192,זְעֵיר,A,2191+זעיר,(Aramaic) corresponding to H2191,,A,little,"1) a little, small",zᵊʿēr,
2193,זָעַךְ,H,,a primitive root,,V,to extinguish,"1) to extinguish, be extinct, be extinguished<br>&emsp;1a) (Niphal) to be extinguished",zāʿax,
2194,זָעַם,H,,a primitive root,,V,be indignant,"1) to denounce, express indignation, be indignant<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to have indignation, be indignant, be angrily indignant, be defiant<br>&emsp;&emsp;1a2) to be abhorrent<br>&emsp;&emsp;1a3) to express indignation in speech, denounce, curse<br>&emsp;1b) (Niphal) to show indignation, show anger",zāʿam,
2195,זַ֫עַם,H,2194+זעם,from H2194,,N-M,indignation,"1) anger, indignation",zaʿam,
2196,זָעַף,H,,a primitive root,,V,to enrage,"1) to fret, be sad, be wroth, be vexed, be enraged, be out of humour<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to be out of humour<br>&emsp;&emsp;1a2) to be enraged, be angry<br>2) (Qal)<br>&emsp;2a) to appear perplexed, appear troubled<br>&emsp;2b) to be sad-looking",zāʿaf,
2197,זַ֫עַף,H,2196+זעף,from H2196,,N-M,rage,"1) rage, raging, storming, indignation",zaʿaf,
2198,זָעֵף,H,2196+זעף,from H2196,,A,vexed,"1) angry, raging, out of humour, vexed",zāʿēf,
2199,זָעַק,H,,a primitive root,,V,to cry out,"1) to cry, cry out, call, call for help<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to call (to one's aid)<br>&emsp;&emsp;1a2) to cry, cry out (in need)<br>&emsp;1b) (Niphal) to be assembled, be called together, be joined together<br>&emsp;1c) (Hiphil)<br>&emsp;&emsp;1c1) to call, call out, call together, summon<br>&emsp;&emsp;1c2) to make a crying, proclaim<br>&emsp;&emsp;1c3) to have a proclamation made<br>&emsp;&emsp;1c4) to call out to, call out at",zāʿaq,
2200,זְעִ֑ק,A,2199+זעק,(Aramaic) corresponding to H2199,,V,to cry out,"1) (P'al) to cry, cry out, call",zᵊʿiq,
2201,זְעָקָה,H,2199+זעק,from H2199,,N-F,outcry,"1) cry, outcry<br>&emsp;1a) outcry<br>&emsp;1b) cry of distress<br>&emsp;1c) outcry, clamour",zᵊʿāqā,
2202,זִפְרֹן,H,,from an unused root (meaning to be fragrant),,N_N--L,Ziphron,"Ziphron = ""fragrance""<br>1) a place on the north boundary of the promised land as specified by Moses",zifrōn,
2203,זֶ֫פֶת,H,,from an unused root (meaning to liquify),,N-F,pitch,"1) pitch, tar, asphalt",zefet,
2204,זָקֵן,H,,a primitive root,,V,be old,"1) to be old, become old<br>&emsp;1a) (Qal) to be old, become old<br>&emsp;1b) (Hiphil) to grow old, show age",zāqēn,
2205,זָקֵן,H,2204+זקן,from H2204,,A,old,1) old<br>&emsp;1a) old (of humans)<br>&emsp;1b) elder (of those having authority),zāqēn,
2206,זָקָן,H,2204+זקן,from H2204,,N-M,beard,"1) beard, chin<br>&emsp;1a) beard<br>&emsp;1b) chin",zāqān,
2207,זֹ֫קֶן,H,2204+זקן,from H2204,,N-M,old age,1) old age,zōqen,
2208,זְקֻנִים,H,2204+זקן,(properly) passive participle of H2204 (used only in the plural as a noun),,N-M,extreme age,"1) old age, extreme old age",zᵊqunīm,
2209,זִקְנָה,H,2205+זקן,feminine of H2205,,N-F,old age,1) old age,ziqnā,
2210,זָקַף,H,,a primitive root,,V,to raise,1) (Qal) to raise up,zāqaf,
2211,זְקַף,A,2210+זקף,(Aramaic) corresponding to H2210,,V,to raise,"1) (P'al) to raise, lift up",zᵊqaf,
2212,זָקַק,H,,a primitive root,,V,to refine,"1) to purify, distil, strain, refine<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to purify, distil, strain<br>&emsp;&emsp;1a2) to refine<br>&emsp;1b) (Piel) to purge, refine<br>&emsp;1c) (Pual) to refine, purify",zāqaq,
2213,זֵר,H,2237+זרר,from H2237 (in the sense of scattering),,N-M,border,"1) border, moulding, circlet",zēr,
2214,זָרָא,H,2114+זור,from H2114 (in the sense of estrangement),,N-M,loathsome,"1) nausea, loathing, loathsome thing",zārāʾ,
2215,זָרַב,H,,a primitive root,,V,to burn,"1) (Pual) to dry up, be warmed, be burned, be scorched",zārav,
2216,זְרֻבָּבֶ֫ל,H,2215+זרב|894+בבל,from H2215 and H894,,N_N-M-P,Zerubbabel,"Zerubbabel = ""sown in Babylon""<br>1) the grandson of king Jehoiachin and leader of the first group of returning exiles from Babylon",zᵊrubbāvel,
2217,זְרֻבָּבֶ֫ל,A,2216+זרובבל,(Aramaic) corresponding to H2216,,N_N-M-P,Zerubbabel,"Zerubbabel = ""sown in Babylon""<br>1) the grandson of king Jehoiachin and leader of the first group of returning exiles from Babylon",zᵊrubbāvel,
2218,זֶ֫רֶד,H,,from an unused root meaning to be exuberant in growth,,N_N--L,Zered,"Zered = ""osier brook""<br>1) a river east of the Jordan, in the region of Moab and Edom, a source of the Arnon river",zered,
2219,זָרָה,H,,a primitive root,,V,to scatter,"1) to scatter, fan, cast away, winnow, disperse, compass, spread, be scattered, be dispersed<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to scatter<br>&emsp;&emsp;1a2) to fan, winnow<br>&emsp;1b) (Niphal) to be scattered, be dispersed<br>&emsp;1c) (Piel)<br>&emsp;&emsp;1c1) to scatter, disperse (intensive of Qal)<br>&emsp;&emsp;1c2) to winnow, sift<br>&emsp;1d) (Pual) to be scattered, be spread out",zārā,
2220,זְרוֹעַ,H,2232+זרע,from H2232,,N-F,arm,"1) arm, forearm, shoulder, strength<br>&emsp;1a) arm<br>&emsp;1b) arm (as symbol of strength)<br>&emsp;1c) forces (political and military)<br>&emsp;1d) shoulder (of animal sacrificed)",zᵊrōʿa,
2221,זֵרוּעַ,H,2232+זרע,from H2232,,N-M,sowing,"1) that which is sown, sowing, thing sown",zērūʿa,
2222,זָרַף,H,,by reduplication from an unused root meaning to flow,"זַרְזִיף, זָרַף",V|N-M,drip,"v<br>1) drip<br>&emsp;1a) (Hiph) to cause to drip|1) drop, dripping, a soaking, a saturation",zāraf,m
2223,זַרְזִיר,H,2115+זור,by reduplication from H2115,,N-M,greyhound,"1) girded, girt, alert, used with H04975 in Pr 30:31<br>&emsp;1a) perhaps an extinct animal, exact meaning unknown",zarzīr,
2224,זָרַח,H,,a primitive root,,V,to rise,"1) to rise, come forth, break out, arise, rise up, shine<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to rise<br>&emsp;&emsp;1a2) to come out, appear",zāraḥ,
2225,זֶ֫רַח,H,2224+זרח,from H2224,,N-M,dawning,"1) dawning, shining",zeraḥ,
2226,זֶ֫רַח,H,2225+זרח,the same as H2225,,N_N-M-P,Zerah,"Zerah or Zarah = ""rising""<br>1) a son of Reuel and grandson of Esau, one of the dukes of the Edomites<br>2) twin brother of Pharez, sons of Judah and Tamar; descendants are called Zarhites, Ezrahites, and Izrahites<br>3) son of Simeon; also called 'Zohar'<br>4) a Gershonite Levite, son of Iddo of Adaiah<br>5) the Ethiopian or Cushite, invader of Judah in the reign of Asa who defeated the invaders; probably the same as the Egyptian king Usarken I, second king of the Egyptian 22nd dynasty or perhaps more probably Usarken II, his 2nd successor<br>6) another Edomite leader; possibly same as 1",zeraḥ,
2227,זַרְחִי,H,2226+זרח,patronymically from H2226,,N_N--PG,Zarhites,Zarhites = see Zerah<br>1) descendants of Zerah,zarḥī,
2228,זְרַחְיָה,H,2225+זרח|3050+יה,from H2225 and H3050,,N_N-M-P,Zerahiah,"Zerahiah = ""Jehovah has risen""<br>1) a priest, son of Uzzi, and ancestor of Ezra the scribe<br>2) father of Elihoenai of the sons of Pahath-moab, whose descendants returned from the captivity with Ezra",zᵊraḥyā,
2229,זָרַם,H,,a primitive root,,V,to flood,"1) to pour out, pour forth in floods, flood away<br>&emsp;1a) (Qal) to pour out, flood away<br>&emsp;1b) (Poal) to pour forth, pour out<br>&emsp;&emsp;1b1) of God's power (fig.)",zāram,
2230,זֶ֫רֶם,H,2229+זרם,from H2229,,N-M,storm,"1) rain-shower, thunderstorm, flood of rain, downpour, rain-storm",zerem,
2231,זִרְמָה,H,2230+זרם,feminine of H2230,,N-F,discharge,"1) flow, issue<br>&emsp;1a) issue (of seminal discharge)",zirmā,
2232,זָרַע,H,,a primitive root,,V,to sow,"1) to sow, scatter seed<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to sow<br>&emsp;&emsp;1a2) producing, yielding seed<br>&emsp;1b)(Niphal)<br>&emsp;&emsp;1b1) to be sown<br>&emsp;&emsp;1b2) to become pregnant, be made pregnant<br>&emsp;1c) (Pual) to be sown<br>&emsp;1d) (Hiphil) to produce seed, yield seed",zāraʿ,
2233,זֶ֫רַע,H,2232+זרע,from H2232,,N-M,seed,"1) seed, sowing, offspring<br>&emsp;1a) a sowing<br>&emsp;1b) seed<br>&emsp;1c) semen virile<br>&emsp;1d) offspring, descendants, posterity, children<br>&emsp;1e) of moral quality<br>&emsp;&emsp;1e1) a practitioner of righteousness (fig.)<br>&emsp;1f) sowing time (by meton)",zeraʿ,
2234,זְרַע,A,2233+זרע,(Aramaic) corresponding to H2233,,N-M,seed,"1) seed, offspring",zᵊraʿ,
2235,זֵרֹעַ,H,2232+זרע,from H2232,"זֵרֹעַ, זֵֽרְעֹן",N-M,vegetable,1) vegetables (as sown),zērōʿa,
2236,זָרַק,H,,a primitive root,,V,to scatter,"1) to scatter, sprinkle, toss, throw, scatter abundantly, strew<br>&emsp;1a) (Qal) to scatter, sprinkle, toss<br>&emsp;1b) (Pual) to be sprinkled",zāraq,
2237,זָרַר,H,,a primitive root. Compare H2114,,V,to sneeze,1) (Poel) to sneeze,zārar,
2238,זֶ֫רֶשׁ,H,,of Persian origin,,N_N-F-P,Zeresh,"Zeresh = ""gold""<br>1) the wife of Haman, the Agagite",zereš,
2239,זֶ֫רֶת,H,2219+זרה,from H2219,,N-F,span,"1) span<br>&emsp;1a) a unit of measure, approx half-cubit, or the distance from the thumb to the little finger on an outstretched hand",zeret,
2240,זַתּוּא,H,,of uncertain derivation,,N_N-M-P,Zattu,"Zattu = ""brightness of him""<br>1) a family of exiles who returned with Zerubbabel",zattūʾ,
2241,זֵתָם,H,2133+זיתן,apparently a variation for H2133,,N_N-M-P,Zetham,"Zetham = ""olive""<br>1) a Gershonite Levite, the son of Jehieli and grandson of Laadan",zētām,
2242,זֵתַר,H,,of Persian origin,,N_N-M-P,Zethar,"Zethar = ""star""<br>1) one of the seven eunuchs of Ahasuerus",zētar,
2243,חֹב,H,2245+חבב,by contraction from H2245,,N-M,breast,1) bosom,ḥōv,
2244,חָבָא,H,,a primitive root. Compare H2245,,V,to hide,"1) to withdraw, hide<br>&emsp;1a) (Niphal) to hide oneself<br>&emsp;1b) (Pual) to be forced into hiding<br>&emsp;1c) (Hiphil) to hide<br>&emsp;1d) (Hophal) to be hidden<br>&emsp;1e) (Hithpael)<br>&emsp;&emsp;1e1) to hide oneself, draw back<br>&emsp;&emsp;1e2) to draw together, thicken, harden",ḥāvāʾ,
2245,חָבַב,H,,"a primitive root. Compare H2244, H2247",,V,to love,"1) (Qal) to love fervently, cherish",ḥāvav,
2246,חֹבָב,H,2245+חבב,from H2245,,N_N-M-P,Hobab,"Hobab = ""cherished""<br>1) the son of Reuel, the Midianite father-in-law of Moses, also known as Jethro, and brother-in-law of Moses",ḥōvāv,
2247,חָבָה,H,,a primitive root. Compare H2245,,V,to hide,"1) to withdraw, hide, hide oneself<br>&emsp;1a) (Qal) to withdraw<br>&emsp;1b) (Niphal) to hide oneself, remain hidden, withdraw",ḥāvā,
2248,חֲבוּלָא,A,2255+חבל,(Aramaic) from H2255,,N-M,crime,"1) hurtful act, crime, harm, wicked deed, a wrong",ḥăvūlāʾ,
2249,חָבוֹר,H,2266+חבר,from H2266,,N_N--L,Habor,"Habor = ""joining""<br>1) a tributary of the Euphrates River in Assyria",ḥāvōr,
2250,חַבּוּרָה,H,2266+חבר,from H2266,,N-F,wound,"1) bruise, stripe, wound, blow",ḥabbūrā,
2251,חָבַט,H,,a primitive root,,V,to beat,"1) to beat, beat out, beat off, thresh<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to beat out<br>&emsp;&emsp;1a2) to beat off<br>&emsp;1b) (Niphal) to be beaten out",ḥāvaṭ,
2252,חֲבַיָה,H,2247+חבה|3050+יה,from H2247 and H3050,,N_N-M-P,Habaiah,"Habaiah = ""Jehovah has hidden""<br>1) head of a priestly family who returned from exile with Zerubbabel",ḥăvayā,
2253,חֶבְיוֹן,H,2247+חבה,from H2247,,N-M,hiding,"1) concealment, covering, hiding, hiding place",ḥevyōn,
2254,חָבַל,H,,a primitive root,"חָבַל, חָבַל",V,to pledge|to destroy|be in labour,"1) to bind<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to bind<br>2) to take a pledge, lay to pledge<br>&emsp;2a) (Qal) to hold by a pledge, take in pledge, hold in pledge<br>&emsp;2b) (Niphal) to give a pledge, become pledged|1) to destroy, spoil, deal corruptly, offend<br>&emsp;1a) (Qal) to spoil, corrupt, offend<br>&emsp;1b) (Niphal) to be ruined<br>&emsp;1c) (Piel) to destroy, ruin<br>&emsp;1d) (Pual) to be ruined, be broken|1) to bring forth, travail<br>&emsp;1a) (Piel) to writhe, twist, travail",ḥāval,m
2255,חֲבַל,A,2254+חבל,(Aramaic) corresponding to H2254,,V,to destroy,"1) to hurt, destroy<br>&emsp;1a) (Pael) to hurt, destroy<br>&emsp;1b) (Ithpael) to be destroyed",ḥăval,
2256,חֶ֫בֶל,H,2254+חבל,from H2254,"חֶ֫בֶל, חֹבְלִים, חֶ֫בֶל, חֵ֫בֶל",N-M,cord|pain|union|destruction,"1) a cord, rope, territory, band, company<br>&emsp;1a) a rope, cord<br>&emsp;1b) a measuring-cord or line<br>&emsp;1c) a measured portion, lot, part, region<br>&emsp;1d) a band or company|1) pain, sorrow, travail, pang<br>&emsp;1a) pains of travail<br>&emsp;1b) pains, pangs, sorrows|1) union|1) destruction",ḥevel,m
2257,חֲבָל,A,2255+חבל,(Aramaic) from H2255,,N-M,harm,"1) hurt, damage, injury",ḥăvāl,
2258,חֲבֹל,H,2254+חבל,from H2254,"חֲבֹל, חֲבֹלָה",N-M,pledge,1) pledge,ḥăvōl,
2259,חֹבֵל,H,2254+חבל,active participle from H2254 (in the sense of handling ropes),,N-M,pilot,"1) sailor, seaman",ḥōvēl,
2260,חִבֵּל,H,2254+חבל,from H2254 (in the sense of furnished with ropes),,N-M,mast,1) mast (meaning uncertain),ḥibbēl,
2261,חֲבַצֶּלֶת,H,,of uncertain derivation,,N-F,crocus,"1) meadow-saffron, crocus, rose",ḥăvaṣṣelet,
2262,חֲבַצִּנְיָה,H,,of uncertain derivation,,N_N-M-P,Habazziniah,"Habaziniah = ""light of Jehovah""<br>1) apparently the head of one of the families of the Rechabites",ḥăvaṣṣinyā,
2263,חָבַק,H,,a primitive root,,V,to embrace,"1) to embrace, clasp<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to embrace<br>&emsp;&emsp;1a2) to fold one's hands in idleness (fig.)<br>&emsp;1b) (Piel) to embrace",ḥāvaq,
2264,חִבֻּק,H,2263+חבק,from H2263,,N-M,folding,"1) fold (hands), a folding (of the hands), clasping (of the hands)<br>&emsp;1a) of laziness (fig.)",ḥibbuq,
2265,חֲבַקּוּק,H,2263+חבק,by reduplication from H2263,,N_N-M-P,Habakkuk,"Habakkuk = ""embrace""<br>1) a prophet of Israel who wrote the book by that name; probably lived about the 12th or 13th year of the reign of Josiah",ḥăvaqqūq,
2266,חָבַר,H,,a primitive root,,V,to unite,"1) to unite, join, bind together, be joined, be coupled, be in league, heap up, have fellowship with, be compact, be a charmer<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to unite, be joined<br>&emsp;&emsp;1a2) to tie magic charms, charm<br>&emsp;1b) (Piel)<br>&emsp;&emsp;1b1) to unite with, make an ally of<br>&emsp;&emsp;1b2) to unite, join, ally<br>&emsp;1c) (Pual)<br>&emsp;&emsp;1c1) to be allied with, be united<br>&emsp;&emsp;1c2) to be joined together<br>&emsp;1d) (Hiphil) to join together, pile up (words)<br>&emsp;1e) (Hithpael) to join oneself to, make an alliance, league together",ḥāvar,
2267,חֶ֫בֶר,H,2266+חבר,from H2266,,N-M,spell,"1) association, company, band<br>2) shared, association, society<br>3) a magician, charmer, spell",ḥever,
2268,חֶ֫בֶר,H,2267+חבר,the same as H2267,,N_N-M-P,Heber,"Heber = ""comrade""<br>1) the Kenite, husband of Jael, who slew Sisera by driving a nail into his temple<br>2) grandson of Asher from whom came the Heberites<br>3) father of Socho, a Judahite<br>4) a Benjamite<br>5) another Benjamite<br>6) a Gadite",ḥever,
2269,חֲבַר,A,2266+חבר,(Aramaic) from a root corresponding to H2266,,N-M,fellow,"1) associate, companion, friend, comrade, fellow",ḥăvar,
2270,חָבֵר,H,2266+חבר,from H2266,,A;N-M,companion,"adj<br>1) united<br>n m<br>2) associate, fellow, worshippers<br>3) companion",ḥāvēr,
2271,חַבָּר,H,2266+חבר,from H2266,,N-M,associate,"1) associate, partner (in trade)",ḥabbār,
2272,חֲבַרְבֻּרָה,H,2266+חבר,by reduplication from H2266,,N-F,spot,"1) spots, stripe, mark",ḥăvarburā,
2273,חַבְרָה,A,2269+חבר,(Aramaic) feminine of H2269,,N-F,associate,"1) associate, fellow, companion",ḥavrā,
2274,חֶבְרָה,H,2267+חבר,feminine of H2267,,N-F,company,"1) company, association",ḥevrā,
2275,חֶבְרוֹן,H,2267+חבר,from H2267,"חֶבְרוֹן, חֶבְרוֹן",N_N--L|N_N-M-P,Hebron,"Hebron = ""association""<br>n pr loc<br>1) a city in south Judah approx 20 south of Jerusalem and approx 20 miles (30 km) north of Beersheba and near where Abraham built an altar|Hebron = ""association""<br>n pr m<br>1) the 3rd son of Kohath and grandson of Levi<br>2) a descendant of Caleb",ḥevrōn,m
2276,חֶבְרוֹנִי,H,2275+חברון,patronymically from H2275,,N_N-M-P;N_N--LG,Hebronite,"Hebronites = see Hebron<br>1) the inhabitants of the city of Hebron<br>2) the descendants of Hebron, the grandson of Levi",ḥevrōnī,
2277,חֶבְרִי,H,2268+חבר,patronymically from H2268,,N_N--PG,Heberites,Heberites = see Heber<br>1) descendants of Heber,ḥevrī,
2278,חֲבֶ֫רֶת,H,2270+חבר,feminine of H2270,,N-F,consort,"1) companion, wife, consort",ḥăveret,
2279,חֹבֶ֫רֶת,H,2266+חבר,feminine active participle of H2266,,N-F,set,"1) junction, a thing joined<br>2) curtain pieces of the tabernacle",ḥōveret,
2280,חָבַשׁ,H,,a primitive root,,V,to saddle/tie,"1) to tie, bind, bind on, bind up, saddle, restrain, bandage, govern<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to bind, bind on<br>&emsp;&emsp;1a2) to bind up<br>&emsp;1b) (Piel) to bind, restrain<br>&emsp;1c) (Pual) to be bound up",ḥāvaš,
2281,חֲבִתִּים,H,,from an unused root probably meaning to cook. Compare H4227,,N-M,flatbread,"1) flat cakes, bread wafers",ḥăvittīm,
2282,חַג,H,2287+חגג,from H2287,,N-M,feast,"1) festival, feast, festival-gathering, pilgrim-feast<br>&emsp;1a) feast<br>&emsp;1b) festival sacrifice",ḥag,
2283,חָגָּא,H,,from an unused root meaning to revolve. Compare H2287,,N-F,terror,"1) terror, a reeling (in terror)",ḥāggāʾ,
2284,חָגָב,H,,of uncertain derivation,,N-M,locust,"1) locust, grasshopper",ḥāgāv,
2285,חָגָב,H,2284+חגב,the same as H2284,,N_N-M-P,Hagab,"Hagab = ""locust""<br>1) head of a family of exiles who returned with Zerubbabel",ḥāgāv,
2286,חֲגָבָא,H,2285+חגב,feminine of H2285,"חֲגָבָה, חֲגָבָא",N_N-M-P,Hagaba,"Hagaba or Hagabah = ""locust""<br>1) head of a family of exiles who returned with Zerubbabel",ḥăgāvāʾ,
2287,חָגַג,H,,a primitive root,,V,to celebrate,"1) to hold a feast, hold a festival, make pilgrimage, keep a pilgrim-feast, celebrate, dance, stagger<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to keep a pilgrim-feast<br>&emsp;&emsp;1a2) to reel",ḥāgag,
2288,חֲגָוִים,H,,from an unused root meaning to take refuge,,N-M,cleft,"1) clefts, places of concealment, retreats",ḥăgāwīm,
2289,חָגוֹר,H,2296+חגר,from H2296,,A-M,blelted,"1) clothed, girded, girt",ḥāgōr,
2290,חֲגוֹר,H,2296+חגר,from H2296,"חֲגוֹרָה, חֲגוֹר",N-M/F,belt,"1) girdle, belt|1) girdle, loin-covering, belt, loin-cloth, armour",ḥăgōr,
2291,חַגִּי,H,2287+חגג,from H2287,,N_N-M-P;N_N-M-PG,Haggi,"Haggi = ""festive""<br>n pr m<br>1) second son of Gad<br>adj<br>2) descendants of Haggi, a Gadite",ḥaggī,
2292,חַגַּי,A,2282+חג חג,from H2282,"חַגַּי, חַגַּי",N_N-M-P,Haggai,"Haggai = ""festive""<br>1) 10th in order of the minor prophets; first prophet to prophecy after the captivity<br>2) son of Gad|Haggai = ""festive""<br>1) 10th in order of the minor prophets; first prophet to prophecy after the captivity (in Aramaic writings)",ḥaggay,
2293,חַגִּיָּה,H,2282+חג חג|3050+יה,from H2282 and H3050,,N_N-M-P,Haggiah,"Haggiah = ""festival of Jehovah""<br>1) son of Shimea and a Merarite Levite",ḥaggiyyā,
2294,חַגִּית,H,2291+חגי,feminine of H2291,,N_N-F-P,Haggith,"Haggith = ""festive""<br>1) a wife of David and mother of Adonijah",ḥaggīt,
2295,חׇגְלָה,H,,of uncertain derivation,,N_N-F-P,Hoglah,"Hoglah = ""partridge""<br>1) 3rd of 5 daughters of Zelophehad, a descendant of Manasseh",ḥoglā,
2296,חָגַר,H,,a primitive root,,V,to gird,"1) to gird, gird on, gird oneself, put on a belt<br>&emsp;1a)(Qal)<br>&emsp;&emsp;1a1) to gird<br>&emsp;&emsp;1a2) to gird on, bind on<br>&emsp;&emsp;1a3) to gird oneself",ḥāgar,
2297,חַד,H,259+אחד,abridged from H259,,A,one,"1) one (number), same, single, first, each, once",ḥad,
2298,חַד,A,2297+חד,(Aramaic) corresponding to H2297,,A,one,1) one (number)<br>&emsp;1a) one<br>&emsp;1b) a (indefinite article),ḥad,
2299,חַד,H,2300+חדד,from H2300,,A,sharp,1) sharp,ḥad,
2300,חָדַד,H,,a primitive root,"חָדַה, חָדַד",V,be sharp|to sharpen,"1) to be sharp, be alert, be keen<br>&emsp;1a) (Qal) to be sharp, be keen<br>&emsp;1b) (Hiphil) to sharpen<br>&emsp;1c) (Hophal) to be sharpened|1) to be or to grow sharp<br>&emsp;1a) (Qal) to grow sharp<br>&emsp;1b) (Hiphil) to sharpen",ḥādad,m
2301,חֲדַד,H,2300+חדד,from H2300,,N_N-M-P,Hadad,"Hadad = ""mighty""<br>1) a son of Ishmael",ḥădad,
2302,חָדָה,H,,a primitive root,,V,to rejoice,"1) to rejoice<br>&emsp;1a) (Qal) to rejoice<br>&emsp;1b) (Piel) to make glad, gladden",ḥādā,
2303,חַדּוּד,H,2300+חדד,from H2300,,A,sharp,"1) sharp, pointed, sharpened",ḥaddūd,
2304,חֶדְוָה,H,2302+חדה,from H2302,,N-F,joy,"1) joy, gladness",ḥedwā,
2305,חֶדְוָה,A,2304+חדוה,(Aramaic) corresponding to H2304,,N-F,joy,1) joy,ḥedwā,
2306,חֲדִי,A,2373+חזה,(Aramaic) corresponding to H2373,,N-M,breast,"1) breast, chest",ḥădī,
2307,חָדִיד,H,2300+חדד,from H2300,,N_N--L,Hadid,"Hadid = ""sharp""<br>1) a town in Benjamin",ḥādīd,
2308,חָדַל,H,,a primitive root,,V,to cease,"1) to stop, cease, desist, forego, cease to be, leave undone, forbear<br>&emsp;1a) (Qal)<br>&emsp;&emsp;1a1) to cease, come to an end<br>&emsp;&emsp;1a2) to cease, leave off",ḥādal,
2309,חֶ֫דֶל,H,2308+חדל,from H2308,,N-M,world,"1) rest, cessation",ḥedel,
2310,חָדֵל,H,2308+חדל,from H2308,,A,rejected/fleeting,"1) rejected, forbearing, transient, fleeting, lacking",ḥādēl,
2311,חַדְלָ֑י,H,2309+חדל,from H2309,,N_N-M-P,Hadlai,"Hadlai = ""rest of God""<br>1) an Ephraimite",ḥadlāy,
2312,חֵ֫דֶק,H,,from an unused root meaning to sting,,N-M,briar,"1) brier, thorn, prick",ḥēdeq,
2313,חִדֶּ֫קֶל,H,,probably of foreign origin,,N_N--L,Tigris,"Hiddekel = ""rapid""<br>1) one of the rivers of Eden which coursed east toward Assyria; better known as the Tigris (the LXX equivalent)",ḥiddeqel,
2314,חָדַר,H,,a primitive root,,V,to surround,"1) (Qal) to encompass, surround, enclose",ḥādar,
